coach_id,coach_name,seasons,coach_career_span,g,wins,losses,ties,win_loss_perc,wins_over_500,years_playoffs,g_playoffs,wins_playoffs,losses_playoffs,win_loss_playoffs_perc,rank_avg,rank_best,championships,championships_super_bowl,championships_conference
118,Ron Erhardt,4,1978-1981,49,21,28,0,.429,-7,0,0,0,0,,2.5,1,0,0,0
119,Dennis Erickson,6,1995-2004,96,40,56,0,.417,-16,0,0,0,0,,3.5,3,0,0,0
120,Hal Erickson,1,1924,13,5,8,0,.385,-3,0,0,0,0,,12.0,12,0,0,0
121,Charley Ewart,1,1949,12,1,10,1,.091,-9,0,0,0,0,,5.0,5,0,0,0
122,Weeb Ewbank,20,1954-1973,266,130,129,7,.502,1,4,5,4,1,.800,3.0,1,3,1,1
123,Chuck Fairbanks,6,1973-1978,85,46,39,0,.541,7,2,2,0,2,.000,2.8,1,0,0,0
124,Guil Falcon,3,1920-1923,25,10,10,5,.500,0,0,0,0,0,,8.3,4,0,0,0
125,Jim Fassel,7,1997-2003,112,58,53,1,.522,5,3,5,2,3,.400,2.4,1,0,0,1
126,Jack Faulkner,3,1962-1964,32,9,22,1,.290,-13,0,0,0,0,,3.3,2,0,0,0
127,Frank Fausch,2,1921-1922,8,3,5,0,.375,-2,0,0,0,0,,10.5,6,0,0,0
128,Tom Fears,4,1967-1970,49,13,34,2,.277,-21,0,0,0,0,,3.5,3,0,0,0
129,Marty Feldman,2,1961-1962,17,2,15,0,.118,-13,0,0,0,0,,4.0,4,0,0,0
130,Perry Fewell,1,2009,7,3,4,0,.429,-1,0,0,0,0,,4.0,4,,,
131,Frank Filchock,2,1960-1961,28,7,20,1,.259,-13,0,0,0,0,,3.5,3,0,0,0
132,Jack Fish,1,1930,6,1,4,1,.200,-3,0,0,0,0,,11.0,11,0,0,0
133,Jeff Fisher,20,1994-2014,310,162,147,1,.524,15,6,11,5,6,.455,2.8,1,,,1
134,Ray Flaherty,11,1936-1949,122,80,37,5,.684,43,6,6,2,4,.333,1.8,1,2,0,0
135,Tom Flores,12,1979-1994,184,97,87,0,.527,10,5,11,8,3,.727,3.3,1,2,2,2
136,Bob Folwell,1,1925,12,8,4,0,.667,4,0,0,0,0,,4.0,4,,,
137,Wayne Fontes,9,1988-1996,133,66,67,0,.496,-1,4,5,1,4,.200,3.0,1,0,0,0
138,Jack Forsyth,2,1920-1921,16,8,6,2,.571,2,0,0,0,0,,8.5,7,0,0,0
139,Rick Forzano,3,1974-1976,32,15,17,0,.469,-2,0,0,0,0,,2.3,2,0,0,0
